title,short_description,price
MSI K9NGM4-F V2 Socket AM2 Micro ATX,"K9NGM4-F V2 - Socket AM2, nVidia MCP68PVNT 1000MHz, 2xDDR2 800MHz, 4GB Max, PCI-Expressx16+OnBoard 7.1Audio, GBit, mATX",
HP 5y SupportPlus24 MSA30/20 SVC,HP 5y SupportPlus24 MSA30/20 SVC,
Xerox Toner for Phaser 8400 ink stick 6800 pages,Toner for Phaser 8400,
C2G RJ45 10x10 Modular Plug RJ-45,RJ45 10x10 Modular Plug for Flat Stranded Cable,
V7 128GB Flash Drive Type C - USB 3.1 swivel design,128GB Flash Drive Type C - USB 3.1 swivel design,3495.0
"Casio Exilim EX-Z100 Brown 10.1 MP CCD 3648 x 2736 pixels 1/2.3""",Exilim EX-Z100 Brown,
"Acer Predator Helios 300 PH315-52-7958 Notebook Black 39.6 cm (15.6"") 1920 x 1080 pixels 9th gen Intel® Core™ i7 16 GB DDR4-SDRAM 1000 GB SSD NVIDIA® GeForce® GTX 1660 Ti Wi-Fi 5 (802.11ac) Windows 10 Home","Intel Core i7-9750H (12MB Cache, 2.6GHz), 16GB DDR4-SDRAM, 1000GB SSD, 39.6 cm (15.6"") Full HD 1920 x 1080 IPS, Intel UHD Graphics 630, NVIDIA GeForce GTX 1660 Ti (6GB GDDR6), LAN, WLAN, Bluetooth, Webcam, Windows 10 Home 64-bit",
"MSI Workstation WS75 9TL-1204FR Mobile workstation Black 44 cm (17.3"") 1920 x 1080 pixels 9th gen Intel® Core™ i9 32 GB DDR4-SDRAM 1000 GB SSD NVIDIA Quadro RTX 4000 Wi-Fi 5 (802.11ac) Windows 10 Pro","Intel Core i9-9880H (16MB Cache, 2.3GHz), 32GB DDR4-SDRAM, 1000GB SSD, 43.9 cm (17.3"") Full HD 1920 x 1080, Intel UHD Graphics 630, NVIDIA Quadro RTX 4000 (8GB GDDR6), LAN, WLAN, Bluetooth, Webcam, Windows 10 Pro",
ZAGG iPhone 3G/3Gs Cover Aestetic mobile phone case Pink,,
HP USB Optical 3-button Mouse,HP USB Optical 3-button Mouse,1795.0
Lenovo 2GB DDR3 UDIMM Desktop Memory memory module 1066 MHz,2GB PC3-8500 1066MHz DDR3 UDIMM Desktop Memory (25-Pack),
"Acer Aspire Z5710 58.4 cm (23"") 1920 x 1080 pixels Touchscreen Intel Core i7 8 GB DDR3-SDRAM 1000 GB NVIDIA® GeForce® G210M Silver Windows 7 Home Premium",,
Supermicro (2Ft.) SATA cable 0.6 m Red,SATA Cable 2 Ft,695.0
"Fujitsu Service Pack, 5Y, on-site, 4H, 7x24","Service Pack, 5Y, on-site, 4H, 7x24",
HP 1GB DDR2-667 memory module 667 MHz ECC,"1GB (1x1GB), DDR2-667, ECC, Registered",
"Tripp Lite Left-Angle Cat6 Gigabit Molded Slim UTP Ethernet Cable (RJ45 Left-Angle M to RJ45 M), Blue, 15 ft.","Left-Angle Cat6 Gigabit Molded Slim UTP Ethernet Cable (RJ45 Left-Angle M to RJ45 M), Blue, 15 ft.",2095.0
